Name,Season,Team,Team Wins,Team Win Percentage,Position,MIN,PTS,FG_PCT,FG3_PCT,FT_PCT,REB,AST,STL,BLK,TOV,PER,OFFRTG,DEFRTG,NETRTG,AST_PCT,AST_TO_TO,AST_RATIO,TO_RATIO,EFG,TS,USG_RATE,WIN_SHARE,Team_Valuation,Team_Home_Attendance_Percentage,Salary(millions),PTS_WON,MAX,PTS_WON2
Kawhi Leonard,2016,SAS,67,0.817,F,33.1,21.2,0.506,0.443,0.874,6.8,2.6,1.8,1,1.5,26,109.2,95.4,13.8,12.8,1.77,12.3,6.9,56.5,61.6,25.1,13.7,1200,99.3,17.6,643,1310,0.49
LeBron James,2016,CLE,57,0.695,F,35.6,25.3,0.52,0.309,0.731,7.4,6.8,1.4,0.6,3.3,27.5,113.5,102,11.5,33.9,2.06,21.6,10.5,55.1,58.8,30.4,13.6,1200,100,30.9,631,1310,0.481
Russell Westbrook,2016,OKC,55,0.67,G,34.4,23.5,0.454,0.296,0.812,7.8,10.4,2,0.3,4.3,27.6,114.4,102.9,11.5,46.8,2.44,29,11.9,48.9,55.4,31,14,1000,100,22.615,486,1310,0.37
Kevin Durant,2016,OKC,55,0.67,F,35.8,28.2,0.505,0.387,0.898,8.2,5,1,1.2,3.5,28.2,114.1,102.3,11.9,23,1.44,16.4,11.4,57.3,63.4,29.7,14.5,1000,100,26.5,147,1310,0.112
Chris Paul,2016,LAC,53,0.646,G,32.7,19.5,0.462,0.371,0.896,4.2,10,2.1,0.2,2.6,26.2,111.8,100.7,11.1,49.3,3.8,33.8,8.9,51.7,57.5,26.4,12.7,2000,100.7,22.8,107,1310,0.081
Draymond Green,2016,GSW,73,0.89,F,34.7,14,0.49,0.388,0.696,9.5,7.4,1.5,1.4,3.2,19.3,116.6,98.6,18,27.7,2.31,32.8,14.2,55.1,58.7,18.4,11.1,2600,100,15.3,50,1310,0.038
Damian Lillard,2016,POR,44,0.536,G,35.7,25.1,0.419,0.375,0.892,4,6.8,0.9,0.4,3.2,22.2,109.1,107.4,1.7,33,2.12,21.2,10,49.7,56,30.3,9.2,1100,99.6,24.3,26,1310,0.019
James Harden,2016,HOU,41,0.5,G,38.1,29,0.439,0.359,0.86,6.1,7.5,1.7,0.6,4.6,25.3,108.2,106.4,1.7,35.4,1.64,20.7,12.7,51.2,59.8,31.8,13.3,1700,99.7,15.71,9,1310,0.006
Kyle Lowry,2016,TOR,56,0.682,G,37,21.2,0.427,0.388,0.811,4.7,6.4,2.1,0.4,2.9,22.2,110.6,104,6.6,29.3,2.2,23.2,10.6,51.6,57.8,25.6,11.6,1100,100.1,12,6,1310,0.004
Stephen Curry,2015,GSW,67,0.817,PG,32.7,23.8,0.487,0.443,0.914,4.3,7.7,2,0.2,3.1,28.06,114.6,98.2,16.4,35.8,2.49,26.4,10.6,59.4,63.8,27.7,15.7,1900,100,11.3,1198,1300,0.921
James Harden,2015,HOU,56,0.682,PG,36.8,27.4,0.44,0.375,0.868,5.7,7,1.9,0.7,4,26.76,108.9,103.1,5.9,34,1.76,20.8,11.8,51.1,60.5,30.8,16.4,1500,101,15.7,936,1300,0.72
