PTS_WON,Team Win Percentage,MIN,PTS,FG_PCT,FG3_PCT,FT_PCT,REB,AST,STL,BLK,TOV,PER,OFFRTG,DEFRTG,NETRTG,AST_PCT,AST_TO_TO,AST_RATIO,TO_RATIO,EFG,TS,USG_RATE,WIN_SHARE
5,0.609,35.3,21.8,0.435,0.312,0.812,3.4,7.9,0.9,0.7,3.1,23.1,108.9,98.5,10.4,37.9,2.58,25.1,9.7,47.3,53.2,29.5,6
4,0.439,33.5,21.6,0.457,0.368,0.896,6.7,2.2,0.7,0.5,1.9,21.81,103.4,97.2,6.2,11.9,1.16,9.5,8.2,49.5,56.4,28.2,7.6
4,0.573,35.3,23.6,0.457,0.316,0.823,4.6,5.5,1.7,0.3,3.6,23,108.7,101,7.7,28.4,1.51,17.6,11.6,48.1,53.8,331.7,7.9
3,0.609,28.2,15.4,0.492,0,0.695,9,2.3,0.7,1.5,1.7,22.6,106.6,96.9,9.6,13.7,1.36,12.3,9.1,49.2,53.1,25.8,5.9
1,0.487,35.5,18.8,0.454,0.388,0.849,3.7,3.9,0.8,0.2,1.9,18.5,106,100.1,5.8,18.9,2,17.1,8.5,52.1,55.7,24.6,6.4
1182,0.756,37.4,25,0.445,0.332,0.858,4.1,7.7,1,0.6,3.4,23.62,109,100.2,8.7,37.2,2.24,22.8,10.2,48.5,55,31.3,13.1
643,0.634,37.6,22.9,0.593,0,0.596,14.1,1.4,1.4,2.4,3.6,26.13,108.8,100,8.8,6.7,0.38,5.8,15.1,59.3,61.6,27.1,14.4
522,0.707,38.8,26.7,0.51,0.33,0.759,7.5,7,1.6,0.6,3.6,27.34,111.2,101.1,10.1,34.3,1.95,21.3,10.9,54.1,59.4,30,15.6
428,0.695,33.9,25.3,0.451,0.323,0.828,5.1,4.7,1.2,0.1,3,23.94,111.1,103.6,7.5,25.8,1.6,15.5,9.7,48.7,54.8,34.1,10.3
190,0.67,38.9,27.7,0.462,0.35,0.88,6.8,2.7,1.1,1,2.8,23.7,110.7,106.4,4.2,12.7,0.98,9.5,9.7,50.9,58.9,29.6,12
113,0.695,34.3,23,0.517,0.393,0.892,7,2.6,0.5,0.6,1.9,23.52,109.8,99.5,10.3,13.6,1.39,11.3,8.1,54.5,61.2,27.2,11.1
24,0.707,37.1,25.5,0.5,0.306,0.758,6.4,4.6,1.5,1.1,3.1,25.65,112.3,101.8,10.5,22.3,1.46,15.4,10.6,52.3,58.1,30.7,12.8
20,0.743,30.3,17.4,0.433,0.349,0.871,3.7,4.9,1.5,0.4,2.2,21.78,110.6,99.9,10.7,24.9,2.26,22.5,9.9,50.9,58.1,24.5,9.9
9,0.512,36.8,25.3,0.502,0.435,0.792,8.2,2.6,0.9,1.9,3.2,22.78,110.8,109.1,1.7,12.8,0.81,9.2,11.4,50.5,56.5,30.6,8
5,0.39,38,22.5,0.506,0.292,0.642,12.1,3.8,0.8,0.5,2.7,21.93,105.5,107.4,-1.9,18.4,1.4,14.1,10.1,50.8,54.9,26.9,9.8
5,0.682,37.2,10.6,0.475,0.233,0.568,4.4,11.2,2.3,0.2,3.4,17.11,108.2,99.2,9.1,44.8,3.25,44.2,13.6,48.2,49.5,17.9,6.6
3,0.743,32.4,17.5,0.519,0.357,0.769,3.1,6.6,1.2,0,2.6,20.44,108.1,101.9,6.2,34.5,2.57,26.8,10.4,53.1,56.9,24.9,8.2
2,0.56,36,15.9,0.463,0.388,0.878,4.1,9.8,2.4,0.1,2.2,23.76,107.3,103,4.3,44.1,4.42,38.3,8.7,50.2,57.8,20.5,13.9
1205,0.743,39,29.7,0.503,0.333,0.767,7.3,8.6,1.6,1,3.4,31.19,113.8,102.7,11.1,39.8,2.49,23.5,9.4,54.5,60.4,32.7,18.5
