RETWEET : FOR LEBRON JAMES FAVORITE : FOR KOBE .Lebron is way better than him,0.5,0.75
"#BeefsBetterThanDrakeAndChrisBrowns Lebron James Vs His Barber""",0.0,0.0
#BeefsBetterThenDrake&amp;chrisbrown: Lebron james vs Lebron james HairLine,0.0,0.0
If Lebron James had wished for me to come to life I woulda just pretended to be not alive until he lost interest in me.,-0.05,0.4
"#BeefsBetterThanDrakeAndChrisBrowns Lebron James Vs His Barber""",0.0,0.0
 @UnluckyBrian: Opens barber shop and gets first customer. Lebron James. ,0.25,0.3333333333333333
"Given the way that the headlines are being written, it is almost as if the #nats were beaten by lebron James, D. Wade, &amp; C. Bosh",0.0,0.0
LeBron James: ... http://t.co/Fdhyvc33,0.0,0.0
drake should donate some of his eyebowns to lebron james hair`line .,0.0,0.0
"After watching LeBron James on all of these talk shows this past week, I feel this inexplicable sort of happiness for him. #Umm",-0.05000000000000001,0.44999999999999996
#betterbeefsthandrakeandchrisbrown... Lebron james and his hairline,0.0,0.0
 @Skin_N_Tatts: #BeefBetterThanDrakeAndChrisBrown lebron James vs his hair line         ,0.0,0.0
Top 20 college players invited. : Congratulations to on being invited to Lebron James Skil ...,0.5,0.5
 @Skin_N_Tatts: #BeefBetterThanDrakeAndChrisBrown lebron James vs his hair line         ,0.0,0.0
drake should donate some of his eyebowns to lebron james hair`line .,0.0,0.0
#BeefsBetterThanDrakeAndChrisBrowns Lebron James Vs His Barber,0.0,0.0
#BeefsBetterThanDrakeAndChrisBrowns Lebron James Vs His Barber,0.0,0.0
Congratulations to my bro on being invited to the prestigious Lebron James Skills Academy. Love u bro ball ...,0.5,0.6
Know Lebron James though?,0.0,0.0
Congratulations to my bro on being invited to the prestigious Lebron James Skills Academy. Love u bro ball ...,0.5,0.6
Michael Vick is the Lebron James in football everybody on his DICK now watch him get a RING,0.0,0.0
LeBron James: Tweets that aren t worth a Twitter http://t.co/hk9h3p5C,0.3,0.1
"#BestMixtapesEver A Kid Named Cudi, Lebron Flocka James 1, 2 and 3 #Seriously",-0.3333333333333333,0.6666666666666666
LeBron James,_____________,_______________
Kevin durant starring in his own movie?!?!?!! Fuck yes! THUNDERSTRUCK starting Aug. 24th,0.16666666666666666,0.5666666666666668
The new Kevin Durant shoes are kinda hurt.,0.13636363636363635,0.45454545454545453
Who was it? Kevin Durant? Emmitt Smith? Mariah Carey???? ;),0.25,1.0
Kevin Durant Scores 92 Points By Jajuan against Givaun . http://t.co/E2In4ycZ,0.0,0.0
"Blake Griffin, Kevin Durant, Derrick Rose on NBA 2K13 cover http://t.co/sOJ1gj0o #PBT #NBA",0.6,0.95
Get off Lebron back because:   Melo = No Ring   Kevin Durant = No Ring   D Rose = No Ring   Dwight = No Ring   Half ...,0.14444444444444446,0.37222222222222223
I liked a video from http://t.co/eXX8SJk9 Avery Bradley Dunks On Kevin Durant: Celtics Vs T,0.6,0.8
ahh. Kevin Durant impossible? I'll watch it tonight or delay it again. Too mad.,-0.6458333333333333,1.0
"To this day, Kevin Durant practices like he's still trying to make the team. He's an All-Star &amp; 3-time scoring champ! ...",0.0,0.0
Kevin durant lookin ass nigga,0.0,0.0
Get off Lebron back because:   Melo = No Ring   Kevin Durant = No Ring   D Rose = No Ring   Dwight = No Ring   Half ...,0.14444444444444446,0.37222222222222223
